1,0.74,3.74,-72.60,0.48
1,0.71,3.67,-71.80,0.49
1,0.70,3.62,-71.80,0.50
1,0.68,3.59,-71.20,0.51
1,0.68,3.56,-71.60,0.52
1,0.67,3.55,-71.90,0.53
1,0.66,3.51,-71.40,0.54
1,0.65,3.48,-72.80,0.55
1,0.62,3.40,-70.20,0.56
1,0.60,3.35,-72.90,0.57
1,0.57,3.26,-70.40,0.58
1,0.56,3.20,-69.80,0.59
1,0.54,3.14,-77.40,0.60
1,0.52,3.10,-67.90,0.61
1,0.50,3.03,-79.20,0.62
1,0.47,2.94,-67.90,0.63
1,0.45,2.84,-74.20,0.64
1,0.43,2.75,-77.90,0.65
1,0.41,2.70,-68.40,0.66
1,0.39,2.62,-74.70,0.67
1,0.37,2.54,-71.70,0.68
1,0.35,2.46,-68.60,0.69
1,0.34,2.41,-77.90,0.70
1,0.31,2.31,-66.90,0.71
1,0.29,2.23,-75.30,0.72
1,0.28,2.18,-73.20,0.73
1,0.26,2.10,-67.30,0.74
1,0.25,2.03,-79.30,0.75
1,0.23,1.94,-70.80,0.76
1,0.22,1.89,-71.40,0.77
1,0.20,1.80,-77.80,0.78
1,0.19,1.75,-67.10,0.79
1,0.18,1.66,-77.40,0.80
1,0.16,1.59,-75.60,0.81
1,0.15,1.50,-67.70,0.82
1,0.14,1.41,-79.20,0.83
1,0.13,1.35,-68.60,0.84
1,0.11,1.26,-74.60,0.85
1,0.11,1.20,-74.80,0.86
1,0.09,1.12,-74.80,0.87
1,0.09,1.06,-68.50,0.88
1,0.07,0.97,-66.50,0.89
1,0.07,0.91,-79.20,0.90
1,0.06,0.82,-74.50,0.91
1,0.05,0.73,-68.40,0.92
1,0.05,0.67,-79.80,0.93
1,0.04,0.59,-67.00,0.94
1,0.03,0.52,-78.80,0.95
1,0.02,0.43,-71.20,0.96
1,0.02,0.36,-71.10,0.97
1,0.02,0.28,-78.40,0.98
1,0.01,0.22,-66.50,0.99
1,0.01,0.12,-79.80,1.00
1,0.01,0.07,-68.30,0.01
